Domizil;Beobachtungseinheit;Art;Geschlecht;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Wohnsitzstaat - Total;Anzahl Renten;Witwer/Witwe;Frauen;38'459;42'423;45'370;54'501;58'901;61'927;65'399;67'434;82'104;71'359;71'502;73'098;71'444;63'067;70'857;70'337;63'089;63'409;63'300;63'313;64'294;64'085;…;…;…;…;…;63'387;62'953;62'210;63'401;67'705;69'336;71'653;73'317;74'345;74'672;75'081;75'230;75'188;75'202;74'910;74'651;74'063;73'700;72'858;71'262;71'851;71'704;71'617;72'648;75'109;77'395;83'950;86'288;88'967;92'284;99'814;103'529;107'296;110'805;114'581;118'331;122'395;126'540;131'151;135'865;140'979;146'062;151'358;156'808;162'487;167'788;173'899;179'413;184'249
Wohnsitzstaat - Total;Anzahl Renten;Waise (Vater);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;32'363;31'881;31'625;31'484;31'329;30'836;30'670;30'168;30'142;29'698;29'047;28'336;27'734;27'128;26'628;25'889;25'282;24'798;24'304;24'044;24'095;23'486;23'111
Wohnsitzstaat - Total;Anzahl Renten;Waise (Mutter);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;9'073;9'063;8'991;9'086;9'079;9'170;9'100;8'952;8'797;8'691;8'626;8'512;8'311;8'167;8'005;7'816;7'658;7'495;7'340;7'230;7'150;7'043;6'993
Wohnsitzstaat - Total;Anzahl Renten;Waise (einfach);Total;24'734;27'835;30'597;36'005;38'327;40'466;41'460;42'615;45'119;51'536;54'323;56'536;56'216;47'497;57'102;55'882;56'452;57'005;56'748;57'115;57'016;57'259;…;…;…;…;…;59'087;58'656;59'523;59'399;62'451;61'406;61'532;61'041;60'664;59'519;57'675;55'604;53'388;51'525;49'358;47'211;45'414;44'180;43'201;40'854;41'968;41'853;41'133;41'142;41'670;41'856;41'436;40'944;40'616;40'570;40'408;40'006;39'770;39'120;38'939;38'389;37'673;36'848;36'045;35'295;34'633;33'705;32'940;32'293;31'644;31'274;31'245;30'529;30'104
Wohnsitzstaat - Total;Anzahl Renten;Waise (doppelt);Total;1'807;1'937;1'943;2'074;2'147;2'152;2'051;2'045;2'125;2'166;2'219;2'247;2'108;1'641;2'030;1'958;1'915;1'923;1'925;2'028;1'988;1'904;…;…;…;…;…;1'547;1'539;1'517;1'409;1'523;1'497;1'559;1'551;1'567;1'490;1'464;1'414;1'357;1'261;1'166;1'061;1'017;968;956;904;934;932;937;833;696;595;458;395;335;284;232;196;156;138;111;94;82;61;55;46;41;36;34;35;38;32;26;30;31
Schweiz;Renten-Mittelwert in Franken;Altersrente;Männer;37;37;40;42;43;45;56;57;62;70;72;74;78;111;103;105;154;156;159;177;180;244;…;…;…;…;…;695;701;740;744;749;791;798;902;903;1'008;1'009;1'055;1'056;1'101;1'102;1'177;1'178;1'326;1'407;1'407;1'452;1'453;1'495;1'501;1'521;1'526;1'596;1'598;1'638;1'638;1'675;1'677;1'725;1'725;1'780;1'782;1'817;1'817;1'833;1'832;1'839;1'838;1'837;1'836;1'850;1'849;1'863;1'862;1'908
Schweiz;Renten-Mittelwert in Franken;Altersrente;Frauen;42;41;42;43;44;45;55;56;62;69;71;72;74;103;97;99;146;147;150;168;171;236;…;…;…;…;…;682;690;731;738;745;786;792;898;903;1'011;1'016;1'065;1'070;1'119;1'124;1'204;1'208;1'363;1'454;1'462;1'513;1'516;1'560;1'565;1'586;1'590;1'653;1'655;1'695;1'694;1'729;1'728;1'774;1'771;1'824;1'823;1'855;1'853;1'867;1'864;1'870;1'867;1'865;1'862;1'875;1'873;1'886;1'884;1'928
Schweiz;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;361;407;415;428;427;441;442;455;463;473;482;503;513;522;523;535;549;549;556;545;555;545;550;563;559;561
Schweiz;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;73;70;71;78;79;107;…;…;…;…;…;299;301;317;318;319;318;313;323;324;360;360;376;375;391;391;416;416;467;495;495;510;510;523;525;531;531;547;546;554;531;541;541;556;551;560;551;553;543;536;527;520;510;504;493;490;481;481;475;477
Schweiz;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;579;664;680;682;697;700;719;720;745;746;762;757;760;757;755;752;748;745;747;741;742;741;754
Schweiz;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;541;545;571;562;572;585;598;594;615;619;627;630;638;636;642;638;632;632;638;637;641;643;658
Schweiz;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;69;64;63;68;69;93;…;…;…;…;…;322;325;343;345;347;361;360;403;402;446;445;464;464;481;480;509;507;570;599;598;618;617;622;621;624;623;575;650;668;669;687;692;711;711;736;737;753;748;751;748;747;744;740;736;739;732;734;733;746
Schweiz;Renten-Mittelwert in Franken;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;88;86;88;97;98;132;…;…;…;…;…;469;477;511;521;523;558;556;604;609;671;668;701;700;722;709;770;774;833;914;860;905;895;879;898;919;917;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Schweiz;Renten-Mittelwert in Franken;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'027;1'029;1'051;1'056;1'093;1'100;1'131;1'133;1'159;1'155;1'188;1'196;1'233;1'238;1'260;1'265;1'268;1'265;1'275;1'274;1'271;1'279;1'289;1'289;1'301;1'305;1'335
Schweiz;Renten-Mittelwert in Franken;Witwer/Witwe;Frauen;34;34;35;38;38;40;50;51;56;71;74;76;79;112;105;107;151;153;156;172;176;239;…;…;…;…;…;695;701;744;747;749;785;787;887;887;989;989;1'032;1'032;1'076;1'076;1'148;1'148;1'291;1'361;1'360;1'404;1'402;1'435;1'431;1'442;1'439;1'473;1'471;1'503;1'500;1'527;1'522;1'559;1'555;1'598;1'591;1'612;1'605;1'611;1'605;1'606;1'600;1'595;1'589;1'599;1'594;1'600;1'596;1'632
Schweiz;Renten-Mittelwert in Franken;Waise (Vater);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;651;672;671;685;683;687;683;695;692;706;704;717;715;731;729;749;745;753;750;751;749;749;748;747;743;747;744;748;745;760
Schweiz;Renten-Mittelwert in Franken;Waise (Mutter);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;427;443;446;488;497;509;515;532;535;551;554;569;570;587;588;606;609;621;623;625;625;631;632;632;634;639;638;646;647;662
Schweiz;Renten-Mittelwert in Franken;Waise (einfach);Total;12;13;15;16;18;19;24;25;27;35;35;36;37;56;50;51;70;71;72;79;81;110;…;…;…;…;…;323;326;344;345;346;361;360;403;402;446;445;464;462;480;478;508;506;566;599;598;617;616;637;636;641;640;653;651;666;665;678;676;693;691;711;708;717;715;717;715;717;717;716;714;718;716;720;718;733
Schweiz;Renten-Mittelwert in Franken;Waise (doppelt);Total;17;19;20;21;23;25;31;32;36;48;51;51;54;82;71;72;101;102;103;112;116;157;…;…;…;…;…;496;501;534;538;538;564;563;634;627;695;695;719;710;738;731;772;763;851;910;897;929;931;938;943;936;930;957;954;971;960;989;976;1'009;990;1'006;997;1'036;1'034;1'079;1'016;981;940;906;872;882;874;855;783;839
Ausland;Renten-Mittelwert in Franken;Altersrente;Männer;–;38;45;47;…;…;…;…;…;…;…;…;72;99;88;87;…;…;…;…;…;…;…;…;…;…;…;418;405;409;394;379;384;375;407;397;434;427;437;431;442;437;462;457;507;538;459;470;460;450;472;470;474;592;604;593;568;558;544;549;540;550;546;554;553;559;559;565;570;576;584;596;604;619;631;659
Ausland;Renten-Mittelwert in Franken;Altersrente;Frauen;–;35;40;42;…;…;…;…;…;…;…;…;71;94;86;81;…;…;…;…;…;…;…;…;…;…;…;425;417;424;413;399;405;398;435;423;459;447;456;449;459;450;472;465;515;545;431;463;463;476;477;491;492;581;601;602;588;593;586;593;585;598;594;600;597;601;600;602;605;609;614;623;628;639;646;669
Ausland;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;237;269;258;271;313;314;343;353;332;342;365;313;246;200;183;164;164;188;140;155;137;148;122
Ausland;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;53;51;51;56;58;74;…;…;…;…;…;159;153;152;148;141;138;131;130;127;137;134;134;131;131;128;136;133;145;153;155;148;142;171;173;175;179;135;136;130;121;121;119;121;118;118;115;114;112;112;110;109;107;106;106;106;104;104;102;104
Ausland;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;271;288;288;286;289;288;299;308;320;328;338;350;361;366;373;381;387;390;398;404;412;414;426
Ausland;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;220;240;258;239;244;260;245;259;269;286;318;326;309;305;315;321;299;321;317;341;338;335;350
Ausland;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54;51;47;53;54;70;…;…;…;…;…;176;167;169;163;158;159;151;163;165;175;173;176;173;174;174;182;181;199;216;419;281;274;249;276;250;257;265;283;285;282;286;287;297;306;318;326;338;349;358;363;371;379;383;387;394;401;408;410;422
Ausland;Renten-Mittelwert in Franken;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;77;74;69;75;84;124;…;…;…;…;…;400;429;222;400;235;286;296;304;280;318;227;343;294;241;346;444;345;359;395;769;538;611;703;704;619;687;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Ausland;Renten-Mittelwert in Franken;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;600;663;487;636;668;685;729;744;744;721;741;740;761;737;741;730;704;677;671;685;697;687;698;688;715;735;484
Ausland;Renten-Mittelwert in Franken;Witwer/Witwe;Frauen;–;26;35;39;43;44;54;54;55;64;64;64;66;93;83;82;117;106;118;119;119;146;…;…;…;…;…;318;318;325;324;321;328;324;353;349;385;382;397;395;409;408;433;433;487;523;582;584;590;563;580;585;590;586;610;615;601;598;588;593;582;589;580;582;574;572;565;561;554;550;545;546;543;545;542;553
Ausland;Renten-Mittelwert in Franken;Waise (Vater);Total;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;346;357;365;368;374;372;379;379;387;387;393;392;396;396;395;397;394;392;396;394;398;402;413
Ausland;Renten-Mittelwert in Franken;Waise (Mutter);Total;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;308;320;334;335;342;341;353;352;355;358;358;354;352;340;342;342;341;346;351;351;349;355;377
Ausland;Renten-Mittelwert in Franken;Waise (einfach);Total;–;15;18;20;22;21;26;27;27;34;34;34;35;50;43;42;63;60;59;56;58;69;…;…;…;…;…;148;150;155;156;156;161;158;173;171;187;187;196;194;202;202;217;218;248;270;346;302;308;311;318;330;340;342;353;361;364;369;367;376;375;383;383;389;387;390;388;388;389;386;385;390;388;391;395;408
Ausland;Renten-Mittelwert in Franken;Waise (doppelt);Total;–;–;29;32;33;39;42;39;41;44;52;48;54;76;62;56;82;80;68;74;83;109;…;…;…;…;…;259;246;247;240;235;229;235;254;249;271;279;283;293;288;300;323;323;375;409;537;470;464;577;605;629;626;589;622;645;661;702;636;665;712;802;830;809;769;776;977;850;816;698;768;511;511;378;405;415
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Altersrente;Männer;37;37;40;42;44;46;57;59;64;72;75;77;77;110;102;104;159;161;164;182;185;252;…;…;…;…;…;680;685;720;721;721;759;763;859;858;955;953;992;989;1'026;1'022;1'086;1'081;1'210;1'277;1'260;1'301;1'288;1'312;1'311;1'318;1'311;1'357;1'348;1'356;1'330;1'334;1'316;1'340;1'328;1'360;1'355;1'375;1'369;1'377;1'373;1'377;1'377;1'378;1'380;1'394;1'398;1'416;1'423;1'464
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Altersrente;Frauen;42;41;42;43;45;46;56;58;63;72;73;75;74;103;97;99;151;153;155;173;176;244;…;…;…;…;…;666;673;711;716;719;756;760;859;860;958;958;999;999;1'039;1'037;1'103;1'101;1'234;1'307;1'290;1'339;1'329;1'353;1'353;1'362;1'359;1'411;1'411;1'433;1'420;1'439;1'431;1'461;1'452;1'490;1'484;1'503;1'498;1'506;1'502;1'506;1'504;1'504;1'505;1'519;1'521;1'537;1'540;1'581
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;361;115;229;415;416;427;429;445;452;464;472;484;493;503;492;486;481;447;413;383;405;365;368;351;365;346
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;73;69;70;77;78;105;…;…;…;…;…;289;290;303;301;296;294;287;295;295;329;327;337;334;344;340;360;357;396;416;411;415;404;407;394;373;349;333;308;271;207;209;205;208;190;179;165;157;148;141;135;130;126;122;119;118;115;114;112;112
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;488;542;548;543;546;546;564;570;592;596;610;611;620;622;624;624;626;626;631;630;635;636;652
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;434;460;480;472;468;487;496;506;531;538;550;549;551;552;565;564;557;566;565;573;577;581;597
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;69;63;63;68;69;92;…;…;…;…;…;312;315;330;331;329;341;338;378;376;415;413;427;424;437;432;453;447;494;516;555;522;514;519;519;519;512;482;533;541;536;541;543;559;566;588;593;606;608;615;618;620;620;622;622;626;626;631;632;648
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;88;86;87;96;98;132;…;…;…;…;…;467;476;503;519;508;540;532;578;576;643;629;652;644;664;671;731;716;738;800;841;798;800;784;800;788;809;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'023;1'010;1'007;1'003;1'039;1'045;1'074;1'076;1'092;1'085;1'113;1'119;1'155;1'152;1'175;1'171;1'167;1'161;1'172;1'173;1'170;1'171;1'181;1'178;1'191;1'198;1'011
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Witwer/Witwe;Frauen;34;34;35;38;39;40;50;51;56;71;74;75;79;112;105;107;150;151;154;170;173;233;…;…;…;…;…;645;649;677;675;665;690;683;761;754;832;826;856;850;878;871;923;918;1'028;1'083;1'095;1'109;1'101;1'115;1'114;1'106;1'089;1'101;1'097;1'100;1'072;1'078;1'052;1'054;1'027;1'030;1'004;998;972;958;936;920;900;882;864;855;840;833;820;827
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Waise (Vater);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;583;586;598;599;608;604;615;613;628;624;631;628;631;629;630;629;628;624;627;624;627;625;638
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Waise (Mutter);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;497;502;517;519;531;532;547;548;564;565;575;574;574;573;577;577;578;580;584;583;590;591;607
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Waise (einfach);Total;12;13;15;16;18;19;24;25;27;35;35;36;37;56;50;51;70;71;71;78;80;107;…;…;…;…;…;294;296;307;306;301;311;308;341;337;371;369;383;380;393;391;415;413;465;495;517;514;514;533;539;547;548;564;567;580;581;591;587;600;598;613;611;618;616;618;616;618;617;617;614;617;615;618;617;631
Wohnsitzstaat-Total;Renten-Mittelwert in Franken;Waise (doppelt);Total;17;19;20;21;23;25;31;32;36;48;51;51;54;82;71;72;101;101;102;111;115;154;…;…;…;…;…;467;469;485;480;470;488;484;533;527;569;566;576;572;583;580;616;612;678;728;762;762;773;796;797;805;803;840;849;872;867;902;861;897;913;950;955;978;958;982;1'013;937;900;870;840;825;808;707;693;741
